1,Bulbasaur,sprite,Grass,Poison,Overgrow ,none,Chlorophyll ,45,49,49,65,65,45,#Tackle#Growl#Leech Seed#Magical Leaf#Poison Powder#Sleep Powder#Sludge#Mega Drain#Take Down#Growth#Double-Edge#Worry Seed#Synthesis#Seed Bomb#Bullet Seed#Cut#Dig#Energy Ball#Facade#Flash#Giga Drain#Grass Knot#Grassy Glide#Hidden Power#Knock Off#Light Screen#Protect#Reflect#Rest#Return#Rock Smash#Sleep Talk#Sludge Bomb#Strength#Toxic#Venoshock#Weather Ball#Body Slam#Celebrate#Power Whip#Solar Beam#Substitute#Sunny Day#Swords Dance#Work Up#Amnesia#Charm#Curse#Endure#Grass Whistle#Grassy Terrain#Ingrain#Leaf Storm#Nature Power#Petal Dance#Skull Bash#
2,Ivysaur,sprite,Grass,Poison,Overgrow ,none,Chlorophyll ,60,62,63,80,80,60,#Growl#Leech Seed#Tackle#Magical Leaf#Poison Powder#Sleep Powder#Sludge#Mega Drain#Take Down#Growth#Double-Edge#Sludge Bomb#Synthesis#Solar Beam#Bullet Seed#Cut#Dig#Energy Ball#Facade#Flash#Giga Drain#Grass Knot#Grassy Glide#Hidden Power#Knock Off#Light Screen#Protect#Reflect#Rest#Return#Rock Smash#Seed Bomb#Sleep Talk#Strength#Toxic#Venoshock#Weather Ball#Body Slam#Celebrate#Power Whip#Substitute#Sunny Day#Swords Dance#Work Up#Amnesia#Charm#Curse#Endure#Grass Whistle#Grassy Terrain#Ingrain#Leaf Storm#Nature Power#Petal Dance#Skull Bash#
3,Venusaur,sprite,Grass,Poison,Overgrow ,none,Chlorophyll ,80,82,83,100,100,80,#Petal Dance#Growl#Leech Seed#Magical Leaf#Tackle#Vine Whip#Poison Powder#Sleep Powder#Take Down#Mega Drain#Sludge#Growth#Double-Edge#Sludge Bomb#Synthesis#Petal Blizzard#Solar Beam#Chloroblast#Bulldoze#Bullet Seed#Cut#Dig#Earth Power#Earthquake#Energy Ball#Facade#Flash#Giga Drain#Grass Knot#Grassy Glide#Hidden Power#Knock Off#Light Screen#Protect#Reflect#Rest#Return#Roar#Rock Smash#Seed Bomb#Sleep Talk#Stomping Tantrum#Strength#Toxic#Venoshock#Weather Ball#Body Slam#Celebrate#Frenzy Plant#Power Whip#Substitute#Sunny Day#Swords Dance#Work Up#Amnesia#Charm#Curse#Endure#Grass Whistle#Grassy Terrain#Ingrain#Leaf Storm#Nature Power#Skull Bash#
3,Venusaur-Mega,sprite,Grass,Poison,Thick fat ,none,none,80,100,123,122,120,80,#Petal Dance#Growl#Leech Seed#Magical Leaf#Tackle#Vine Whip#Poison Powder#Sleep Powder#Take Down#Mega Drain#Sludge#Growth#Double-Edge#Sludge Bomb#Synthesis#Petal Blizzard#Solar Beam#Chloroblast##Amnesia#Charm#Curse#Endure#Giga Drain#Grass Whistle#Grassy Terrain#Ingrain#Leaf Storm#Nature Power#Power Whip#Skull Bash#
4,Charmander,sprite,Fire,none,Blaze ,none,Solar power ,39,52,43,60,50,65,#Growl#Scratch#False Swipe#Ember#Brick Break#Ancient Power#Fire Fang#Scary Face#Thunder Punch#Flame Burst#Slash#Flamethrower#Fire Spin#Inferno#Acrobatics#Aerial Ace#Cut#Dig#Dragon Claw#Dragon Pulse#Facade#Fire Blast#Fire Punch#Heat Wave#Hidden Power#Iron Tail#Overheat#Protect#Reflect#Rest#Return#Rock Slide#Rock Smash#Rock Tomb#Scorching Sands#Shadow Claw#Sleep Talk#Strength#Temper Flare#Toxic#Weather Ball#Will-O-Wisp#Body Slam#Celebrate#Dragon Dance#Flame Charge#Flare Blitz#Focus Punch#Hone Claws#Power-Up Punch#Substitute#Sunny Day#Swords Dance#Work Up#Air Cutter#Belly Drum#Bite#Counter#Crunch#Dragon Rush#Fire Lash#Metal Claw#Outrage#
5,Charmeleon,sprite,Fire,none,Blaze ,none,Solar power ,58,64,58,80,65,80,#Incinerate#Growl#Scratch#False Swipe#Ember#Brick Break#Ancient Power#Fire Fang#Scary Face#Thunder Punch#Flame Burst#Slash#Flamethrower#Fire Spin#Inferno#Acrobatics#Aerial Ace#Cut#Dig#Dragon Claw#Dragon Pulse#Facade#Fire Blast#Fire Punch#Heat Wave#Hidden Power#Iron Tail#Overheat#Protect#Reflect#Rest#Return#Rock Slide#Rock Smash#Rock Tomb#Scorching Sands#Shadow Claw#Sleep Talk#Strength#Temper Flare#Toxic#Weather Ball#Will-O-Wisp#Body Slam#Celebrate#Dragon Dance#Flame Charge#Flare Blitz#Focus Punch#Hone Claws#Power-Up Punch#Substitute#Sunny Day#Swords Dance#Work Up#Air Cutter#Belly Drum#Bite#Counter#Crunch#Dragon Rush#Fire Lash#Metal Claw#Outrage#
6,Charizard,sprite,Fire,Flying,Blaze ,none,Solar power ,78,84,78,109,85,100,#Dual Wingbeat#Air Slash#Dragon Claw#Flare Blitz#Growl#Heat Wave#Incinerate#Scratch#Shadow Claw#False Swipe#Ember#Brick Break#Ancient Power#Fire Fang#Dragon Rage#Scary Face#Thunder Punch#Flame Burst#Slash#Flamethrower#Fire Spin#Inferno#Dragon Dance#Acrobatics#Aerial Ace#Aura Sphere#Bulldoze#Cut#Defog#Dig#Draco Barrage#Draco Meteor#Dragon Pulse#Dragon Tail#Earthquake#Facade#Fire Blast#Fire Punch#Fly#Focus Blast#Heat Crash#Hidden Power#Hurricane#Iron Tail#Overheat#Protect#Reflect#Rest#Return#Roar#Rock Slide#Rock Smash#Rock Tomb#Roost#Scale Shot#Scorching Sands#Sleep Talk#Steel Wing#Strength#Temper Flare#Toxic#Weather Ball#Will-O-Wisp#Blast Burn#Blaze Kick#Body Slam#Flame Charge#Focus Punch#Hone Claws#Mystical Fire#Power-Up Punch#Solar Beam#Substitute#Sunny Day#Swords Dance#Tailwind#Work Up#Air Cutter#Belly Drum#Bite#Counter#Crunch#Dragon Rush#Fire Lash#Metal Claw#Outrage#
6,Charizard-Mega-X,sprite,Fire,Dragon,Tough claws ,none,none,78,130,111,130,85,100,#Dual Wingbeat#Air Slash#Dragon Claw#Flare Blitz#Growl#Heat Wave#Incinerate#Scratch#Shadow Claw#False Swipe#Ember#Brick Break#Ancient Power#Fire Fang#Dragon Rage#Scary Face#Thunder Punch#Flame Burst#Slash#Flamethrower#Fire Spin#Inferno#Dragon Dance##Air Cutter#Belly Drum#Bite#Counter#Crunch#Dragon Pulse#Dragon Rush#Fire Lash#Focus Punch#Metal Claw#Outrage#
6,Charizard-Mega-Y,sprite,Fire,Flying,Drought ,none,none,78,104,78,159,115,100,#Dual Wingbeat#Air Slash#Dragon Claw#Flare Blitz#Growl#Heat Wave#Incinerate#Scratch#Shadow Claw#False Swipe#Ember#Brick Break#Ancient Power#Fire Fang#Dragon Rage#Scary Face#Thunder Punch#Flame Burst#Slash#Flamethrower#Fire Spin#Inferno#Dragon Dance##Air Cutter#Belly Drum#Bite#Counter#Crunch#Dragon Pulse#Dragon Rush#Fire Lash#Focus Punch#Metal Claw#Outrage#
7,Squirtle,sprite,Water,none,Torrent ,none,Rain dish ,44,48,65,50,64,43,#False Swipe#Tackle#Tail Whip#Bubble#Rapid Spin#Water Pulse#Bite#Fake Out#Detect#Aqua Tail#Skull Bash#Iron Defense#Rain Dance#Hydro Pump#Aura Sphere#Blizzard#Brick Break#Dig#Dragon Pulse#Facade#Flip Turn#Gyro Ball#Hidden Power#Ice Beam#Ice Punch#Icy Wind#Iron Tail#Protect#Reflect#Rest#Return#Rock Smash#Rock Tomb#Scald#Sleep Talk#Strength#Surf#Toxic#Waterfall#Weather Ball#Zen Headbutt#Body Slam#Celebrate#Focus Punch#Power-Up Punch#Snowscape#Substitute#Work Up#Aqua Jet#Aqua Ring#Brine#Flail#Haze#Life Dew#Mirror Coat#Mist#Mud Sport#Muddy Water#Refresh#Water Spout#Yawn#
